date,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote
2017-08-24 08:00:00,4153.8,4250.94,4136.33,4222.0,318.48383,2017-08-24 15:59:59.999,1333428.96677508,2978,116.438582,488476.77493134
2017-08-24 16:00:00,4223.06,4371.68,4178.22,4316.01,222.235313,2017-08-24 23:59:59.999,941632.54219549,1577,41.664938,177548.36165851
2017-08-25 00:00:00,4316.01,4370.0,4267.5,4329.0,242.614069,2017-08-25 07:59:59.999,1049847.50355262,2436,46.770824,202935.99217119
2017-08-25 08:00:00,4317.81,4422.29,4261.13,4394.36,238.639716,2017-08-25 15:59:59.999,1032642.98497561,3101,39.890002,173031.57600299
2017-08-25 16:00:00,4394.36,4453.91,4247.48,4280.68,92.358955,2017-08-25 23:59:59.999,402146.86083504,1017,13.437148,58609.56757227
2017-08-26 00:00:00,4280.71,4319.7,4228.99,4319.7,70.345856,2017-08-26 07:59:59.999,301474.10402223,689,13.131804,56462.6863317
2017-08-26 08:00:00,4319.7,4319.7,4221.14,4275.0,70.808065,2017-08-26 15:59:59.999,303217.38856551,606,17.896216,76733.0606687
2017-08-26 16:00:00,4275.0,4367.0,4212.41,4337.44,86.954147,2017-08-26 23:59:59.999,373174.24074436,965,25.162121,108168.05350205
2017-08-27 00:00:00,4332.51,4400.0,4293.42,4313.84,110.458587,2017-08-27 07:59:59.999,479722.70859871,1231,26.133039,113763.62636385
2017-08-27 08:00:00,4331.29,4352.34,4285.54,4325.0,92.416106,2017-08-27 15:59:59.999,399080.82670547,1311,26.920629,116582.77123078
2017-08-27 16:00:00,4290.01,4386.79,4290.01,4310.01,147.817892,2017-08-27 23:59:59.999,642776.52672139,1128,48.59769,212095.78177752
2017-08-28 00:00:00,4310.01,4330.36,4124.54,4261.9,167.692553,2017-08-28 07:59:59.999,710965.61579394,1542,60.109601,254707.99872497
2017-08-28 08:00:00,4261.9,4365.4,4226.93,4273.59,243.580585,2017-08-28 15:59:59.999,1045729.3485671,1449,62.369388,269097.58155903
2017-08-28 16:00:00,4317.2,4399.82,4273.59,4386.69,192.568478,2017-08-28 23:59:59.999,834965.56143849,1358,20.308793,88558.62582734
2017-08-29 00:00:00,4353.65,4404.07,4313.55,4329.02,207.319033,2017-08-29 07:59:59.999,904058.09116968,1512,46.881931,205366.67640352
2017-08-29 08:00:00,4328.12,4625.85,4328.12,4570.0,216.816,2017-08-29 15:59:59.999,961915.80517435,1540,54.439444,244160.85136457
2017-08-29 16:00:00,4569.65,4624.99,4496.95,4587.48,179.409995,2017-08-29 23:59:59.999,816509.83948588,1107,42.121192,192454.49291849
2017-08-30 00:00:00,4564.52,4647.51,4527.45,4550.02,268.976481,2017-08-30 07:59:59.999,1235103.29463362,1558,44.35635,204454.32345502
2017-08-30 08:00:00,4550.0,4597.0,4416.01,4546.77,339.165309,2017-08-30 15:59:59.999,1535073.1990964,2537,115.455647,524236.10238136
2017-08-30 16:00:00,4555.0,4609.92,4516.87,4555.14,200.326981,2017-08-30 23:59:59.999,913538.19293121,1456,36.250255,165929.81167245
2017-08-31 00:00:00,4555.14,4628.12,4555.14,4592.16,212.649806,2017-08-31 07:59:59.999,975713.05640458,1444,31.627604,145297.1626408
2017-08-31 08:00:00,4603.58,4685.55,4572.64,4648.82,218.872006,2017-08-31 15:59:59.999,1015806.83578914,1551,51.756196,241031.37751856
2017-08-31 16:00:00,4648.82,4745.42,4638.98,4724.89,125.43499,2017-08-31 23:59:59.999,588358.83181812,1166,48.563525,228013.99374298
2017-09-01 00:00:00,4689.89,4767.0,4654.88,4707.5,176.874112,2017-09-01 07:59:59.999,833040.51633816,1164,34.640142,163977.9172264
2017-09-01 08:00:00,4715.0,4839.92,4708.09,4803.83,199.854367,2017-09-01 15:59:59.999,949989.837121,1328,44.133446,210237.1188036
2017-09-01 16:00:00,4756.46,4885.55,4738.94,4834.91,183.937887,2017-09-01 23:59:59.999,882135.205787,1508,39.886515,192039.39486734
2017-09-02 00:00:00,4796.16,4939.19,4473.35,4697.71,324.308136,2017-09-02 07:59:59.999,1535966.70306933,2744,148.353001,700601.03573397
2017-09-02 08:00:00,4701.02,4709.4,4354.61,4460.19,329.544361,2017-09-02 15:59:59.999,1500343.32590915,2397,121.370129,552277.95476569
2017-09-02 16:00:00,4465.12,4554.98,4286.87,4472.14,275.296098,2017-09-02 23:59:59.999,1221413.91583852,2334,109.476733,485455.09491769
